ecmen_public_time,Normal_vwap,VALUE_hdd,10Y_NORMAL_hdd,Sum_Value_hdd,Delta_Full_hdd,Delta_Sub_hdd,VALUE_cdd,10Y_NORMAL_cdd,Sum_Value_cdd,Delta_Full_cdd,Delta_Sub_cdd,Month
2015-01-28 13:40:00,1.009,28.300,29.740,462.940,7.040,1.600,0.010,0.220,0.820,-0.410,-0.310,1
2015-01-29 13:40:00,1.051,31.650,29.670,469.980,6.930,-0.130,0.030,0.230,0.940,-0.170,-0.190,1
2015-01-30 13:40:00,1.016,32.570,29.610,439.150,-11.060,-8.190,0.030,0.240,0.720,-0.340,-0.290,1
2015-02-02 13:40:00,0.993,36.060,29.320,450.470,15.910,11.130,0.020,0.270,0.340,-0.500,-0.430,2
2015-02-03 13:40:00,0.977,32.150,29.190,439.760,12.230,9.490,0.110,0.290,0.480,-0.320,-0.380,2
2015-02-04 13:40:00,1.041,37.190,29.080,436.710,8.050,7.550,0.080,0.290,0.570,-0.300,-0.280,2
2015-02-05 13:40:00,1.023,33.520,28.980,432.630,1.130,0.310,0.020,0.290,0.460,-0.420,-0.390,2
2015-02-06 13:40:00,1.009,26.140,28.860,426.950,-0.670,4.950,0.020,0.310,0.460,-0.420,-0.410,2
2015-02-09 13:40:00,1.018,28.670,28.420,468.440,3.770,-1.090,0.000,0.340,0.420,-0.430,-0.370,2
2015-02-10 13:40:00,0.974,28.630,28.320,481.580,13.770,10.480,0.010,0.350,0.530,-0.330,-0.410,2
2015-02-11 13:40:00,0.950,34.420,28.040,501.890,13.220,10.670,0.020,0.350,0.580,-0.390,-0.350,2
2015-02-12 13:40:00,1.043,35.720,27.850,505.220,9.220,10.750,0.000,0.350,0.600,-0.430,-0.350,2
2015-02-13 13:40:00,0.974,34.020,27.660,500.320,16.500,9.870,0.000,0.350,0.670,-0.360,-0.390,2
2015-02-17 13:40:00,1.016,39.960,26.820,487.270,7.970,6.930,0.000,0.410,1.180,-0.420,-0.520,2
2015-02-18 13:40:00,0.989,43.480,26.650,482.480,10.010,1.690,0.000,0.410,1.340,-0.440,-0.410,2
2015-02-19 13:40:00,0.999,40.780,26.390,488.200,15.460,12.340,0.010,0.430,1.990,-0.110,-0.130,2
2015-02-20 13:40:00,0.956,31.800,26.150,481.490,9.370,5.060,0.110,0.430,2.200,-0.230,-0.300,2
2015-02-23 13:40:00,1.033,40.020,25.270,467.960,4.810,5.210,0.150,0.460,3.580,-0.240,-0.330,2
2015-02-24 13:40:00,0.991,35.920,24.950,448.730,2.330,6.180,0.130,0.460,3.950,-0.060,-0.110,2
2015-02-25 13:40:00,1.014,39.470,24.690,437.080,-0.510,0.890,0.150,0.460,3.500,-0.520,-0.590,2
2015-02-26 13:40:00,1.071,42.230,24.420,425.230,10.410,2.610,0.090,0.470,3.680,-0.550,-0.390,2
2015-02-27 13:40:00,0.995,40.180,24.090,396.090,-2.890,-7.420,0.150,0.480,3.190,-0.820,-0.560,2
2015-03-02 13:40:00,0.997,29.600,23.160,359.530,0.090,1.840,0.360,0.530,4.220,-0.200,-0.340,3
2015-03-03 13:40:00,0.979,29.290,22.910,325.180,-11.740,-6.860,0.540,0.560,5.150,0.150,-0.020,3
2015-03-04 13:40:00,0.979,38.430,22.560,320.070,-0.800,-1.110,0.440,0.570,4.400,-0.810,-0.660,3
2015-03-05 13:40:00,0.975,37.680,22.330,298.300,-3.660,3.080,0.180,0.570,4.470,-0.570,-0.660,3
2015-03-06 13:40:00,0.996,28.720,21.850,286.450,3.540,3.000,0.150,0.580,4.440,-0.480,-0.630,3
2015-11-02 13:40:00,1.007,8.170,14.380,183.160,0.810,0.870,1.140,1.000,13.430,0.430,0.090,11
2015-11-03 13:40:00,0.993,7.480,14.680,196.040,6.160,5.270,1.350,0.960,13.240,0.080,-0.350,11
2015-11-04 13:40:00,1.001,7.040,15.020,202.840,-1.790,-6.140,1.870,0.910,11.210,-1.260,-0.030,11
2015-11-05 13:40:00,0.955,8.890,15.410,204.840,-5.370,-2.090,1.780,0.820,10.440,1.270,0.030,11
2015-11-06 13:40:00,1.004,13.500,15.740,212.870,-0.210,-3.220,1.040,0.790,9.010,0.020,0.040,11
2015-11-09 13:40:00,1.031,14.760,16.770,226.840,2.890,2.950,0.750,0.670,7.520,0.030,-0.220,11
2015-11-10 13:40:00,0.991,13.920,17.080,235.120,4.580,2.530,1.050,0.640,7.100,-0.490,-0.640,11
2015-11-11 13:40:00,1.030,14.050,17.460,243.270,9.970,4.970,0.740,0.640,6.940,-0.390,-0.220,11
2015-11-12 13:40:00,0.993,17.120,17.710,250.960,2.660,5.070,0.530,0.630,7.630,0.150,-0.240,11
2015-11-13 13:40:00,0.964,17.800,18.070,256.100,0.750,-0.700,0.390,0.600,7.500,0.220,0.530,11
2015-11-16 13:40:00,1.042,14.070,18.980,291.140,-4.260,-1.940,0.820,0.490,5.980,-0.080,-0.020,11
2015-11-17 13:40:00,0.985,12.830,19.300,304.660,-1.290,1.570,0.820,0.470,5.700,0.240,0.020,11
2015-11-18 13:40:00,1.012,14.790,19.510,317.010,0.140,0.660,0.690,0.470,5.140,-0.010,-0.090,11
2015-11-19 13:40:00,1.031,18.340,19.790,321.500,-4.110,1.150,0.560,0.470,4.700,0.190,-0.290,11
2015-11-20 13:40:00,1.052,22.380,20.180,320.340,-6.420,-2.870,0.650,0.460,5.340,0.440,0.090,11
2015-11-23 13:40:00,0.955,23.090,20.830,320.500,-5.400,-2.970,0.120,0.430,4.120,-0.090,-0.170,11
2015-11-24 13:40:00,1.007,19.810,21.120,310.260,-8.200,-1.770,0.350,0.430,5.550,0.350,-0.090,11
2015-11-25 13:40:00,1.000,16.980,21.440,314.230,-9.010,-4.460,0.720,0.400,5.340,0.200,-0.130,11
2015-11-30 13:40:00,0.977,21.210,22.600,297.360,-6.680,-6.390,0.540,0.380,4.500,0.240,0.010,11
2015-12-01 13:40:00,1.000,21.310,22.850,298.500,0.410,-3.580,0.560,0.380,4.380,0.010,0.080,12
2015-12-02 13:40:00,1.024,22.580,23.010,293.780,2.330,0.170,0.250,0.380,4.180,-0.030,0.090,12
2015-12-03 13:40:00,0.990,22.520,23.210,291.720,-4.300,2.010,0.280,0.380,4.580,0.040,-0.140,12
2015-12-04 13:40:00,1.007,22.140,23.460,289.830,-0.360,1.150,0.350,0.370,4.700,-0.070,-0.050,12
2015-12-07 13:40:00,1.043,19.090,24.050,307.360,0.980,0.260,0.170,0.370,4.140,-0.250,-0.050,12
2015-12-08 13:40:00,0.998,17.180,24.250,301.550,-10.260,-1.000,0.270,0.360,4.730,0.410,0.030,12
2015-12-09 13:40:00,1.008,14.810,24.480,315.770,-5.280,-1.930,0.370,0.360,5.350,0.060,-0.090,12
2015-12-10 13:40:00,1.030,15.480,24.660,311.320,-10.980,-9.890,0.580,0.360,5.440,0.110,0.040,12
2015-12-11 13:40:00,1.009,13.930,24.890,308.910,-10.360,-5.560,0.840,0.350,5.300,-0.200,-0.090,12
2015-12-14 13:40:00,1.009,19.430,25.510,318.150,6.780,2.450,0.540,0.340,5.860,-0.210,0.010,12
2015-12-15 13:40:00,1.056,21.350,25.660,304.450,-6.770,-7.650,0.550,0.330,6.920,0.900,0.470,12
2015-12-16 13:40:00,0.982,23.590,25.800,301.760,-2.760,-4.080,0.600,0.330,7.680,0.550,0.460,12
2015-12-17 13:40:00,1.041,26.730,26.050,311.420,8.280,5.250,0.220,0.330,7.930,0.070,0.010,12
2015-12-18 13:40:00,0.979,28.490,26.260,303.520,-6.730,-3.160,0.090,0.330,8.540,0.140,-0.040,12
