gfsen_public_time,Normal_vwap,VALUE_hdd,10Y_NORMAL_hdd,Sum_Value_hdd,Delta_Full_hdd,Delta_Sub_hdd,VALUE_cdd,10Y_NORMAL_cdd,Sum_Value_cdd,Delta_Full_cdd,Delta_Sub_cdd,Month
2015-01-29 06:28:00,0.951,27.390,29.740,488.930,-6.140,0.380,0.010,0.220,0.550,0.010,-0.090,1
2015-01-30 06:28:00,1.009,31.930,29.670,492.870,-3.610,-4.040,0.030,0.230,0.890,0.150,0.160,1
2015-02-02 06:28:00,1.013,35.150,29.480,450.130,11.550,11.270,0.110,0.260,0.370,-0.180,-0.120,2
2015-02-03 06:28:00,1.029,34.480,29.320,471.910,18.910,18.420,0.030,0.270,0.310,-0.240,-0.170,2
2015-02-04 06:28:00,0.975,31.370,29.190,470.610,-2.540,-4.600,0.100,0.290,0.500,0.090,0.080,2
2015-02-05 06:28:00,0.984,36.840,29.080,485.370,1.200,6.110,0.110,0.290,0.300,0.000,-0.040,2
2015-02-06 06:28:00,1.000,32.690,28.980,486.100,14.060,10.900,0.020,0.290,0.310,0.010,0.030,2
2015-02-09 06:28:00,0.986,26.570,28.580,506.620,-4.960,-6.990,0.110,0.330,0.540,0.080,0.100,2
2015-02-10 06:28:00,1.019,28.880,28.420,522.020,-11.920,-13.230,0.020,0.340,0.400,-0.050,0.050,2
2015-02-11 06:28:00,0.993,29.350,28.320,548.790,-9.630,-4.550,0.010,0.350,0.720,0.190,0.080,2
2015-02-12 06:28:00,0.956,34.490,28.040,553.760,-12.760,-7.310,0.020,0.350,0.640,0.170,0.180,2
2015-02-13 06:28:00,1.053,35.700,27.850,562.670,13.420,12.890,0.040,0.350,0.600,-0.190,-0.180,2
2015-02-17 06:28:00,0.974,39.450,27.060,541.650,-14.180,-11.190,0.160,0.410,1.980,0.130,0.080,2
2015-02-18 06:28:00,1.029,40.600,26.820,532.500,16.310,14.190,0.000,0.410,1.440,-0.140,-0.220,2
2015-02-19 06:28:00,0.992,43.660,26.650,540.300,1.610,4.080,0.000,0.410,1.680,-0.110,-0.080,2
2015-02-20 06:28:00,1.006,41.170,26.390,558.200,7.250,6.400,0.020,0.430,2.430,0.200,0.200,2
2015-02-23 06:28:00,0.966,43.880,25.540,550.540,13.030,9.940,0.290,0.460,2.800,0.080,0.180,2
2015-02-24 06:28:00,1.018,40.260,25.270,514.460,-5.780,-5.020,0.220,0.460,3.330,0.440,0.210,2
2015-02-25 06:28:00,0.996,35.890,24.950,495.200,-7.350,-9.630,0.260,0.460,3.450,0.010,-0.030,2
2015-02-26 06:28:00,0.962,38.840,24.690,463.540,-10.680,-11.550,0.190,0.460,5.020,0.620,0.550,2
2015-02-27 06:28:00,1.004,42.540,24.420,457.390,15.680,15.300,0.100,0.470,4.110,-0.360,-0.630,2
2015-03-02 06:28:00,0.993,34.000,23.510,404.610,12.940,5.800,0.380,0.530,3.630,-0.610,-0.530,3
2015-03-03 06:28:00,1.015,28.990,23.160,391.540,8.000,6.680,0.430,0.530,4.650,0.320,0.050,3
