gfsen_public_time,Normal_vwap,VALUE_hdd,10Y_NORMAL_hdd,Sum_Value_hdd,Delta_Full_hdd,Delta_Sub_hdd,VALUE_cdd,10Y_NORMAL_cdd,Sum_Value_cdd,Delta_Full_cdd,Delta_Sub_cdd,Month
2015-01-29 06:28:00,0.991,27.390,29.740,488.930,-6.140,0.380,0.010,0.220,0.550,0.010,-0.090,1
2015-01-30 06:28:00,0.999,31.930,29.670,492.870,-3.610,-4.040,0.030,0.230,0.890,0.150,0.160,1
2015-02-02 06:28:00,1.002,35.150,29.480,450.130,11.550,11.270,0.110,0.260,0.370,-0.180,-0.120,2
2015-02-03 06:28:00,0.989,34.480,29.320,471.910,18.910,18.420,0.030,0.270,0.310,-0.240,-0.170,2
2015-02-04 06:28:00,0.996,31.370,29.190,470.610,-2.540,-4.600,0.100,0.290,0.500,0.090,0.080,2
2015-02-05 06:28:00,1.002,36.840,29.080,485.370,1.200,6.110,0.110,0.290,0.300,0.000,-0.040,2
2015-02-06 06:28:00,0.993,32.690,28.980,486.100,14.060,10.900,0.020,0.290,0.310,0.010,0.030,2
2015-02-09 06:28:00,0.996,26.570,28.580,506.620,-4.960,-6.990,0.110,0.330,0.540,0.080,0.100,2
2015-02-10 06:28:00,1.002,28.880,28.420,522.020,-11.920,-13.230,0.020,0.340,0.400,-0.050,0.050,2
2015-02-11 06:28:00,0.990,29.350,28.320,548.790,-9.630,-4.550,0.010,0.350,0.720,0.190,0.080,2
2015-02-12 06:28:00,0.995,34.490,28.040,553.760,-12.760,-7.310,0.020,0.350,0.640,0.170,0.180,2
2015-02-13 06:28:00,0.998,35.700,27.850,562.670,13.420,12.890,0.040,0.350,0.600,-0.190,-0.180,2
2015-02-17 06:28:00,0.991,39.450,27.060,541.650,-14.180,-11.190,0.160,0.410,1.980,0.130,0.080,2
2015-02-18 06:28:00,0.990,40.600,26.820,532.500,16.310,14.190,0.000,0.410,1.440,-0.140,-0.220,2
2015-02-19 06:28:00,0.995,43.660,26.650,540.300,1.610,4.080,0.000,0.410,1.680,-0.110,-0.080,2
2015-02-20 06:28:00,1.007,41.170,26.390,558.200,7.250,6.400,0.020,0.430,2.430,0.200,0.200,2
2015-02-23 06:28:00,1.000,43.880,25.540,550.540,13.030,9.940,0.290,0.460,2.800,0.080,0.180,2
2015-02-24 06:28:00,1.007,40.260,25.270,514.460,-5.780,-5.020,0.220,0.460,3.330,0.440,0.210,2
2015-02-25 06:28:00,1.001,35.890,24.950,495.200,-7.350,-9.630,0.260,0.460,3.450,0.010,-0.030,2
2015-02-26 06:28:00,1.000,38.840,24.690,463.540,-10.680,-11.550,0.190,0.460,5.020,0.620,0.550,2
2015-02-27 06:28:00,0.998,42.540,24.420,457.390,15.680,15.300,0.100,0.470,4.110,-0.360,-0.630,2
2015-03-02 06:28:00,1.001,34.000,23.510,404.610,12.940,5.800,0.380,0.530,3.630,-0.610,-0.530,3
2015-03-03 06:28:00,1.003,28.990,23.160,391.540,8.000,6.680,0.430,0.530,4.650,0.320,0.050,3
2015-03-04 06:28:00,0.998,30.210,22.910,374.400,-3.810,-2.970,0.590,0.560,5.930,0.160,0.170,3
2015-03-05 06:28:00,1.003,38.250,22.560,365.430,-2.130,1.010,0.480,0.570,5.750,0.280,0.230,3
2015-03-06 06:28:00,0.998,37.130,22.330,328.900,-19.860,-11.110,0.240,0.570,4.970,-0.160,-0.320,3
2015-03-09 01:28:00,0.998,21.260,21.280,284.350,2.290,1.500,0.360,0.590,7.430,0.520,0.480,3
2015-03-10 01:28:00,1.006,17.840,21.030,283.790,-5.650,1.490,0.570,0.600,6.740,0.000,-0.100,3
2015-03-11 01:28:00,1.000,17.200,20.710,283.090,-0.040,-2.840,0.730,0.600,6.720,0.440,0.220,3
2015-03-12 01:28:00,0.998,18.370,20.470,295.170,1.250,-2.720,0.680,0.610,5.560,-0.030,-0.050,3
2015-03-13 01:28:00,1.002,16.880,20.150,275.880,1.910,-1.150,0.670,0.610,6.000,-0.180,-0.080,3
2015-03-16 01:28:00,1.005,12.320,19.270,279.900,0.930,5.430,0.800,0.690,6.640,0.550,0.070,3
2015-03-17 01:28:00,1.003,16.990,19.000,299.100,15.570,8.460,0.970,0.700,6.470,-0.110,-0.500,3
2015-03-18 01:28:00,0.998,20.900,18.720,297.420,5.320,1.410,0.730,0.720,6.430,-0.080,-0.420,3
2015-03-19 01:28:00,1.001,19.730,18.420,277.650,-6.900,-3.200,0.920,0.730,6.940,0.520,0.090,3
2015-03-20 01:28:00,0.999,17.980,18.160,288.740,7.360,6.500,0.890,0.760,7.810,0.870,0.000,3
2015-03-23 01:28:00,0.999,23.160,17.420,278.390,-16.590,-10.350,0.550,0.800,9.170,1.100,0.950,3
2015-03-24 01:28:00,0.997,21.650,17.070,285.200,4.280,3.580,0.720,0.830,9.460,0.190,0.190,3
2015-03-25 01:28:00,1.003,17.180,16.790,276.420,-2.820,1.790,0.800,0.840,8.520,0.390,0.330,3
2015-03-26 01:28:00,0.999,17.520,16.580,257.840,-2.320,-0.690,0.980,0.880,10.820,0.300,-0.180,3
2015-03-27 01:28:00,0.998,22.610,16.240,258.970,-0.000,2.120,0.840,0.920,11.550,1.650,0.540,3
2015-03-30 01:28:00,0.999,15.290,15.520,217.450,-8.910,-4.520,0.700,0.980,13.280,0.400,0.400,3
2015-03-31 01:28:00,1.000,14.940,15.320,213.090,2.200,2.750,1.160,1.010,13.830,-1.270,-1.180,3
2015-04-01 01:28:00,1.000,14.580,15.060,219.580,2.580,2.150,1.380,1.020,15.020,0.010,-0.630,4
2015-04-02 01:28:00,1.003,12.500,14.710,209.860,-0.230,-0.630,1.600,1.020,15.790,1.150,0.570,4
2015-04-06 01:28:00,1.002,13.350,13.810,182.210,-6.280,-4.830,1.250,1.190,17.800,0.730,-0.070,4
2015-04-07 01:28:00,0.993,12.990,13.600,182.190,-4.450,1.700,2.110,1.240,18.110,0.290,-0.610,4
2015-04-08 01:28:00,1.001,13.050,13.330,170.960,-1.590,0.040,2.520,1.280,19.370,1.550,0.410,4
2015-04-09 01:28:00,0.999,11.720,13.080,167.690,4.650,2.380,2.430,1.290,16.720,-4.040,-2.570,4
2015-04-10 01:28:00,0.998,12.200,12.750,170.060,4.330,6.080,1.290,1.320,14.710,0.800,0.380,4
2015-04-13 01:28:00,1.002,8.270,12.050,176.570,10.890,10.960,1.840,1.420,16.750,-0.100,-0.720,4
2015-04-14 01:28:00,0.998,10.810,11.780,178.770,1.630,2.350,1.760,1.470,17.220,2.150,1.160,4
2015-04-15 01:28:00,1.007,11.170,11.540,187.650,6.560,6.260,1.400,1.530,17.630,1.130,-0.030,4
2015-04-16 01:28:00,1.004,9.500,11.320,185.380,-3.490,2.400,1.460,1.550,17.600,0.840,-0.220,4
2015-04-17 01:28:00,0.998,6.260,11.070,181.220,-4.200,-3.790,1.700,1.590,20.010,0.730,0.550,4
2015-04-20 01:28:00,1.004,11.120,10.350,179.100,-4.220,-1.740,1.160,1.770,21.240,-0.520,-1.290,4
2015-04-21 01:28:00,0.998,13.150,9.970,174.390,-5.120,-1.040,0.930,1.830,22.940,1.970,1.490,4
